,Path,Canonical,Transcript
24,L2_arctic_WAV/HQTV_arctic_a0037,ay w ao z dh iy ow n l iy w ah n hh uw r iy m ey n d s ih t ih ng,ay w ao z d iy ao n l iy w ah n hh uw r iy m ey n s iy t ih ng
25,L2_arctic_WAV/HQTV_arctic_a0038,w ih l hh ae v t uw w aa ch aw r ch ae n s ih z,w ih w hh ae v t uw w aa ch aw ch ae n s ih s
26,L2_arctic_WAV/HQTV_arctic_a0039,dh ah sh ih p sh uh d b iy ih n w ih th ih n ah w iy k ao r t eh n d ey z,d ah sh ih p s uh d b iy ih n w ih th ih n ah w iy k ao t eh n d ey z
27,L2_arctic_WAV/HQTV_arctic_a0040,ay s ah p ow z y uw w ah n d er w ay sh iy ih z k ah m ih ng ah p hh iy r,ay s ah b ow y uw w ao n d ah w ay sh iy ih z k ah m ih ng ah p hh iy ah
28,L2_arctic_WAV/HQTV_arctic_a0041,m iy n w ay l ay l g ow aw t t ih b r iy dh ah s p eh l,m iy n w ay ay g ow ih ng aw t t ih s b r iy th dh ah s p eh w
29,L2_arctic_WAV/HQTV_arctic_a0042,hh aw k uh d hh iy ih k s p l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,hh aw k uw d hh iy ih s p l ey n hh ih z b ah s eh s ah n ao b d ah s k eh ch
30,L2_arctic_WAV/HQTV_arctic_a0045,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m,hh iy m uw v ah w ey ae s k w ay ah* t l iy ae s hh iy hh ae z k ah m
31,L2_arctic_WAV/HQTV_arctic_a0046,dh ah g er l f ey s t hh ih m hh er ay z sh ay n ih ng w ih dh s ah d ah n f ih r,d ah g er f ey s hh iy m hh er ay z sh ay n ih ng w ih d ah s ah d ah n f ih ah
32,L2_arctic_WAV/HQTV_arctic_a0047,k l ow z b ih s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w uh l f d ao g,k l ow z b iy s ay d hh ih m k l iy m d ah w ay f ae ng z ao v d ah w ao f d ao g
33,L2_arctic_WAV/HQTV_arctic_a0048,hh iy l uh k t ae t dh ah hh ae ng k er ch ih f m ao r k l ow s l iy,hh iy l uw k ae t d ah hh ae ng k ah ch eh p m ao r k l ow s l iy
34,L2_arctic_WAV/HQTV_arctic_a0051,dh ah l ey s w ao z ah v ah d eh l ah k ah t ay v er iy k ah l er f ey n t l iy t ih n t ih d w ih th y eh l ow,d ah l ey z w ah ao f ah d eh l ih k ey t ay v er iy k ao l er f ey t l iy t ay n iy d w ih t y eh* l ow
35,L2_arctic_WAV/HQTV_arctic_a0052,ih t w ao z ah k y uh r iy ah s k ow ih n s ih d ah n s,ay w ao z k y uh r iy ah z k ao s iy d ah n s
36,L2_arctic_WAV/HQTV_arctic_a0053,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er dh ah hh ae ng k er ch ih f,sh ah d ah n l iy hh iy z f ih ng g ah k l ow z d t ay l iy ow v ah d ah hh ae ng k ao v ih ch ih p
37,L2_arctic_WAV/HQTV_arctic_a0054,dh eh r w ao z n ah th ih ng aa n dh ah r aa k,d eh s w ao z n ao t ih ng aa n d ah r* ao k
38,L2_arctic_WAV/HQTV_arctic_a0058,ay k ey m f ao r ih n f ao r m ey sh ah n m ao r aw t ah v k y uh r iy aa s ah t iy dh ae n eh n iy th ih ng eh l s,ay k ey m f ao ih n f ao m ey sh ah n m ao aw ao f k y uh r aa s ah t iy d ae n eh n iy th ih ng eh w z
39,L2_arctic_WAV/HQTV_arctic_a0059,hh ih z ih m ae k y uw l ih t ah p ih r ah n s w ah z g ao n,hh iy s ih m aa* k uw l ey t ah p ih r ah n s w ah z g ao n
40,L2_arctic_WAV/HQTV_arctic_a0060,eh n iy w ey n ow w ah n s ao hh er l ay k dh ae t,eh n iy w ey n ow w ah n sh ao hh ah l ay d ae t
41,L2_arctic_WAV/HQTV_arctic_a0062,dh ah m eh n s t eh r d ih n t uw iy ch ah dh er z f ey s,d ah m ae n s t ey ih n t uw ih ch aa* d ah f ey s
42,L2_arctic_WAV/HQTV_arctic_a0063,y eh s ih t w ah z ah m ae n hh uw ae s k t ah s t r ey n jh er,y eh s ih s w ah z ah m ae n hh uw ae k s ah s t r ey n g ah
43,L2_arctic_WAV/HQTV_arctic_a0064,dh ah f ao r th ae n d f ih th d ey z p ae s t w ih th aw t eh n iy d ih v eh l ah p m ah n t s,d ah f ao th ae n f iy t d ey z p aa* s w ih th ay eh n iy d ih v eh l ah p m ah n z
44,L2_arctic_WAV/HQTV_arctic_a0065,dh ey k l ow z d n aw ah n t ih l hh ih z f ih ng g er z w er l ay k k ao r d z ah v s t iy l,d ey k l ow z d n aw ah n t ih w hh ih s f ih ng g ah z w ah z l ay k k ao s ah v s t iy w
45,L2_arctic_WAV/HQTV_arctic_a0067,sh uh r l iy ay w ih l ih k s k y uw z y uw sh iy k r ay d,sh uh l iy ay w ih w ih s k iy uw y uw s iy k r ay
46,L2_arctic_WAV/HQTV_arctic_a0071,w ah t w ao z dh ah aa b jh eh k t ah v y uh r l ih t ah l s eh n s ey sh ah n,w ao s w ah ah ao b jh eh k t s ah v y ao l iy t ow* s eh n s ey sh ah n
47,L2_arctic_WAV/HQTV_arctic_a0073,dh ah p r ah m ow t er z ay z w er hh eh v iy w ih th l ih t ah l p ah f iy b ae g z ah n d er dh ah m,d ah p r ow m ow t er ay z w ah hh ae v iy w ih t l iy t ow* p ah f iy b ae z ah n d ah d ah m
48,L2_arctic_WAV/HQTV_arctic_a0075,dh eh r hh ae z b ih n ey ch ey n jh sh iy ih n t er ah p t ih d hh ih m,d eh hh ae z b iy n ey ch ey n s s iy ih n t er ah p t ih d hh ih m
49,L2_arctic_WAV/HQTV_arctic_a0076,dh ah g r ey ay z f aa l t er d dh ah f l ah sh d iy p ah n d,d ah g r ey ay z f ao n t ah d ah f l* ao sh d iy p ah n ah
50,L2_arctic_WAV/HQTV_arctic_a0077,ih t ih z dh ah f ay r p aa r t l iy sh iy s eh d,iy s iy d ah f ay p aa r l iy sh iy s eh* t
51,L2_arctic_WAV/HQTV_arctic_a0078,dh eh n ae n d ae t s ah p er hh iy t r ay d t ah f ae dh ah m hh er,d eh n ae n d ae s uw p er hh iy t r ay d t ah f ey d ah m hh ah
52,L2_arctic_WAV/HQTV_arctic_a0079,ih t w ah z ah l aa r jh k ah n uw,iy s w ah ah l aa sh k aa* n uw
53,L2_arctic_WAV/HQTV_arctic_a0081,w ah t ih f sh iy d ih d n aa t k ah m t ih dh ah r aa k,w ah t ih f sh iy d iy t n ao t k ah m t ih dh ah r* aa k
54,L2_arctic_WAV/HQTV_arctic_a0082,hh ih z f ey s w ah z s t r iy m ih ng w ih dh b l ah d,hh iy f ey w ah z s t r iy m ah l ih ng w ih d b l ah t
55,L2_arctic_WAV/HQTV_arctic_a0085,ah t r ih k ah l ah v f r eh sh b l ah d r ae n ow v er hh ih z f ey s,ah t r ih k ow* ao v f r eh sh b l ah t r ae n ow v ah hh ih z f ey z
56,L2_arctic_WAV/HQTV_arctic_a0086,d eh th hh ae d k ah m w ih dh t eh r ah b ah l s ah d ah n ah s,d ae th hh ae t k ah m w ih dh ah t eh r ah b ah s ah t ah n ih s
57,L2_arctic_WAV/HQTV_arctic_a0088,hh iy m ey d sh uh r dh ah t dh ah m ae g ah z iy n w ah z l ow d ih d ae n d r iy z uw m d hh ih z p ae d l ih ng,hh iy m ey d sh uh ah t d ah m ae g ah z iy n w ah z l ow d ih d ae n d r iy z ah m hh ih z p aa l ih ng
58,L2_arctic_WAV/HQTV_arctic_a0089,dh ah n ay t g l ow w ah z t r eh ch er ah s t uw sh uw t b ay,d ah n ay k l ow w ah z t r eh ch er ah s t uw sh uw t b ay t
59,L2_arctic_WAV/HQTV_arctic_a0090,dh ah s ih ng ih ng v oy s ah p r ow ch t r ae p ah d l iy,d ah s ih ng ih ng v oy ah b r ow ch r ae b ah d l iy
60,L2_arctic_WAV/HQTV_arctic_a0091,hh ih z b l ah d g r uw hh aa t w ih dh r ey jh ae t dh ah th ao t,hh iy z b l ow k r iy w hh ao t w ih t r ae n ch ae t d ah t ao th
61,L2_arctic_WAV/HQTV_arctic_a0092,hh iy w eh n t d aw n ih n m ih d s t r iy m s er ch ih ng dh ah sh ae d ow z ah v b ow th sh ao r z,hh iy w eh n t d aw ih n m ih d s t r iy m s ah ch ih ng d ah sh aa* d ow ah b b ow sh ao
62,L2_arctic_WAV/HQTV_arctic_a0093,f ao r ah f uh l m ih n ah t hh iy k r aw ch t ae n d l ih s ah n d,f ao d ah f uw l m ih n iy s hh iy k r ao ch ae n d l ih s ah n
63,L2_arctic_WAV/HQTV_arctic_a0094,hh iy hh ae d b eh r l iy eh n t er d dh ih s w eh n hh iy s ao dh ah g l ow ah v ah f ay r,hh iy hh ae d* b eh l iy eh n t er d ih s w eh y* hh iy sh ao d ah k l ow ao f ah f ay
64,L2_arctic_WAV/HQTV_arctic_a0095,ah b ih g k ae n v ah s t eh n t w ah z dh ah f er s t th ih ng t ih k ah m w ih th ih n hh ih z v ih zh ah n,ah b iy k k ae n v ah s t eh n t w ah d ah f er s t d ih ng t ih k ah m w ih th ih ng hh ih th v iy z ah n
65,L2_arctic_WAV/HQTV_arctic_a0096,p er hh ae p s sh iy hh ae d ao l r eh d iy m eh t hh er f ey t ah l ih t ah l d iy p er ih n dh ah f ao r ah s t,p er hh ae* v sh iy hh ae z ao r eh d iy m eh t hh ah f ey s ah l iy t ah d iy p er ih n dh ah f ao r ah s t
66,L2_arctic_WAV/HQTV_arctic_a0097,dh eh n y uw k ae n er ey n jh y er r s eh l f k ah m f er t ah b l iy ah m ah ng dh iy z r ow b z ih n dh ah b ow,dh eh n y uw k ae n er ey n ch y uw s eh w p k ao m f ao t ah b l iy ah m ao ng d ow s r ow v iy n d ah b ow
67,L2_arctic_WAV/HQTV_arctic_a0098,sh ae l ay k ae r iy y uw,sh ae w ay k ae r iy y uw
68,L2_arctic_WAV/HQTV_arctic_a0099,ah m ae d ah n ih ng jh oy p aw n d ih d ih n hh ih z b r ey n,ah m ae d ah n ih ng jh oy s p aw d ih d iy n hh iy z b r ey ng
69,L2_arctic_WAV/HQTV_arctic_a0100,y uw m ah s t s l iy p hh iy er jh d,y uw m ah s s l iy v hh iy ah zh
70,L2_arctic_WAV/HQTV_arctic_a0101,y uw y uw w uh d n aa t k iy p dh ah t r uw th f r ah m m iy,y uw y uw w uw d n aa t k iy p d ah t r ah s f r ah m m iy
71,L2_arctic_WAV/HQTV_arctic_a0102,hh iy w ih l f aa l ow ah s s uw n,hh iy w iy w f ao l ow ah s s uw n
72,L2_arctic_WAV/HQTV_arctic_a0103,b ah t dh eh r k ey m n ow p r aa m ah s f r ah m dh ah b ow ah v dh ah k ah n uw,b ah t d eh k ey m n ow b r aa m ih s f r ah m d ah b ow ah p d ah k aa* n uw
73,L2_arctic_WAV/HQTV_arctic_a0104,sh iy w ah z s l iy p ih ng ah n d er hh ih z p r ah t eh k sh ah n ae z s w iy t l iy ae z ah ch ay l d,sh iy w ah z s l iy p ih ng aa* n d ah hh ih z p r ah t eh k sh ah n ae z s w iy d iy ae z ah ch ay err
74,L2_arctic_WAV/HQTV_arctic_a0105,ow n l iy ih t ih z s ow w ah n d er f ah l s ow ao l m ow s t ih m p aa s ah b ah l t ih b ih l iy v,ao n l iy iy s iy z d ah sh ow w ah n d ah f ah n s ow ao m ow s t ih m p aa s ah b ah t ih b ih l iy v
75,L2_arctic_WAV/HQTV_arctic_a0106,dh ah ih m ow sh ah n hh w ih ch sh iy hh ae d s ah p r eh s t b er s t f ao r th n aw ih n ah ch ow k ih ng s aa b,dh ah ih m ow sh ah n hh w ih ch sh iy hh ae z s ah p r eh s b er s t f ao r t n aw ih d ah ch ao k ih s aa f
76,L2_arctic_WAV/HQTV_arctic_a0107,ih f y uw ow n l iy k uh d n ow hh aw ay th ae ng k y uw,ih f y uw ow n l iy k uh d n ow hh aw ay th ae ng k y uw
77,L2_arctic_WAV/HQTV_arctic_a0108,hh iy w ey d ih d ih n t uw dh ah eh jh ah v dh ah w ao t er ah n d b iy g ae n s k r ah b ih ng hh ih m s eh l f,hh iy w aa d ih d ih n t uw d ah eh sh ah v d ah w ao r* ah b iy g eh n s k r ao p ih hh ih m s eh w
78,L2_arctic_WAV/HQTV_arctic_a0109,d uw y uw n ow dh ae t y uw aa r sh ey k ih ng m ay k aa n f ah d ah n s ih n y uw,t uw y uw n ow d ae t y uw aa sh ey k ih ng m ay k aa n f iy d ah n ih n y uw
79,L2_arctic_WAV/HQTV_arctic_a0111,ih n s t eh d hh iy jh oy n d hh er ah n d dh ey ey t l ay k t uw hh ah ng g r iy ch ih l d r ah n,ih s t eh d hh iy jh oy z hh uh d ey ey t l ay t uw hh ah ng g r iy ch ih r ah n
80,L2_arctic_WAV/HQTV_arctic_a0112,hh iy w ao z w uw n d ih d ih n dh iy aa r m,hh iy w ao s w aa d ih d ih n d iy aa m
81,L2_arctic_WAV/HQTV_arctic_a0113,ay s ah p ow z y uw p ih k t dh ae t l ih ng g ow ah p ah m ah ng dh iy ih n d iy ah n z,ay s ah p ow y uw p ih k d ae t l ih ng g ow ah p ah m ao ng d iy ih n d iy ah n z
82,L2_arctic_WAV/HQTV_arctic_a0115,hh iy hh ae d n ow ih k s k y uw s f ao r dh ah f iy l ih ng z w ih ch w er er aw z d ih n hh ih m,hh iy hh ae z n ow ih s k y uw f ao d ah f iy l ih ng z w ih ch w ah er ow z ih n hh ih m
83,L2_arctic_WAV/HQTV_arctic_a0116,w ah z ih t dh ah r aa n d ih v uw v dh ow z hh uw w er s t r ay v ih ng t uw w er k hh ih z r uw ah n,w ah ih s d ah r eh n d ih r ah s v d ow z hh uw w uh s t r ay v ih ng t uw w uh k hh ih z r uw
84,L2_arctic_WAV/HQTV_arctic_a0117,sh iy ae d ih d w ih dh jh eh n y ah w ah n s ih m p ah th iy ih n hh er f ey s ah n d v oy s,s iy ae d ih z hh ih jh ih n uh ih n s ih m p ah th ay ih n hh ah f ey s n v oy s
85,L2_arctic_WAV/HQTV_arctic_a0120,m ay r ay t f uh t f iy l z l ay k dh ae t ah v ah ch ay n iy z d eh b y ah t aa n t,m ay r* ay f uw t f iy w z l ay d ae t ah v d ch ay n iy z d ih b ah t ah n
86,L2_arctic_WAV/HQTV_arctic_a0121,dh ey ey t d ih n er ae t dh ah f ih f th ae n d r eh s t ih d f ao r t uw aw er z,d eh ey t d iy n ah eh d ah f ih f th eh n r eh s t ih s f ao t uw aw ah z
87,L2_arctic_WAV/HQTV_arctic_a0122,t uw y ih r z ah g ow ay g ey v ah p s ih v ah l ih z ey sh ah n f ao r dh ih s,t uw y iy ih z ah g ao ay g eh f ah f s ih v ah l ey sh ah n f ao ah d ih s
88,L2_arctic_WAV/HQTV_arctic_a0123,sh iy hh ae d d ay d f r ah m k ow l d ah n d s t aa r v ey sh ah n,s iy hh ae d ay f r ah ng k ow l eh s t aa v ey sh ah n
89,L2_arctic_WAV/HQTV_arctic_a0125,hh iy w ao z d ih t er m ah n d n aw t ih m ey n t ey n ah m ao r s er t ah n hh ow l d ah p aa n hh ih m s eh l f,hh iy w uh z d ih t ah m ay n aw t ih m eh n t eh n ah m ao k s uh t ah n hh ow n ah p ao n hh ih m s eh w
90,L2_arctic_WAV/HQTV_arctic_a0126,iy ch d ey sh iy b iy k ey m ah m ao r v ay t ah l p aa r t ah v hh ih m,iy ch d ey s iy b iy k eh m ah m ao v ay t ah p aa r t ah p hh ih m
91,L2_arctic_WAV/HQTV_arctic_a0127,ih t w ah z ah t eh m t ey sh ah n b ah t hh iy r iy z ih s t ih d ih t,ih s w ah t eh m t ey sh ah n b ah z hh iy r iy s ih s t ih d ih t
92,L2_arctic_WAV/HQTV_arctic_a0128,dh ih s w ah n hh ow p w ah z d ih s t r oy d ae z k w ih k l iy ae z ih t w ah z b ao r n,d ih s w ah n hh ao p w ah d ih s t r oy ae z w ih k l iy ae z ih s w ah z p ao n
93,L2_arctic_WAV/HQTV_arctic_a0129,hh er f ey s w ao z ah g eh n s t hh ih z b r eh s t,hh uh f ey s w uh ah g eh n s t hh ih z b r eh s t
94,L2_arctic_WAV/HQTV_arctic_a0130,sh iy w ah z hh ih z n aw f er eh v er,sh iy w uh hh ih z n aw f er eh v ah
95,L2_arctic_WAV/HQTV_arctic_a0131,p r aa v ah d ah n s hh ae d d ih l ih v er d hh ih m th r uw dh ah m ey l s t r ah m,b r ao v iy d ah n t hh ae z d ih l iy v er hh iy m f r uw d ah m ey w s t r ah m
96,L2_arctic_WAV/HQTV_arctic_a0134,hh iy ow b ey d dh ah p r eh sh er ah v hh er hh ae n d,hh iy s ao b ey d ah f r eh sh ah ah v hh y ah hh ae n d
97,L2_arctic_WAV/HQTV_arctic_a0136,ah b aw t hh ih m eh v r iy w eh r w er dh ah eh v ah d ah n s ah z ah v l ah g zh er iy ah n d ah v ey jh,ah p aw hh ih m eh r eh v r iy w eh r w uh d ah eh v iy d ah n ah v l ah s er iy ah v ah n d ah p ey ch
98,L2_arctic_WAV/HQTV_arctic_a0137,dh eh n hh iy s t eh p t b ae k w ih th ah l ow k r ay ah v p l eh zh er,d eh n hh iy s t eh p b ae w ih d ah k l ow k r ay s ah p l eh zh ah
99,L2_arctic_WAV/HQTV_arctic_a0139,hh iy t ow l d hh ih m s eh l f dh ae t ae z hh iy w aa sh t hh ih m s eh l f ah n d g r uw m d hh ih z d ih sh eh v ah l d k l ow dh z,hh iy t ow l hh ih m s eh l d ae t eh s hh iy w aa sh hh ih m s eh n k r uw m hh ih z d ih sh ow v k l ow
100,L2_arctic_WAV/HQTV_arctic_a0168,dh ah l ow b uh sh w ih p t hh ih m ih n dh ah f ey s ah n d l eh f t n ow s t ih ng,d ah l ow p uh sh w iy ih f hh ih m ih n d ah f ey s ah l eh f n ow s t ih ng k
101,L2_arctic_WAV/HQTV_arctic_a0178,eh v er iy b ow n ih n hh er ey jh d b aa d iy s iy m d b r ow k ah n ae n d d ih s l ow k ey t ih d,eh v er iy b ao n ih n hh er ey sh b ao d iy s iy m b r ao k ah n ae n d d ih s l ow k ey t ih d
102,L2_arctic_WAV/HQTV_arctic_a0209,ih t w ah z n aa t ah l aa r jh l ey k ae n d ao l m ow s t r aw n d,ih f w ah n aa z ah l aa ch l ey k ae n ao m ow s r aw
103,L2_arctic_WAV/HQTV_arctic_a0225,ay w ao z b r ao t ah p dh ah w ey m ow s t g er l z ih n hh ah w ay iy aa r b r ao t ah p,ay w ao z b r ao t ah p d ah w ey m ao s t g uh ih z hh ah w ay iy aa b r ao k ah b
104,L2_arctic_WAV/HQTV_arctic_a0260,n ow b aa d iy n y uw hh ih z hh ih s t er iy dh ey ah v dh ah hh uh n t ah l iy s t ah v ao l,n ao b ao d iy n y uw hh ih s t ao r iy d ey ao v d ah ch uh n t ah n iy s ah b ao
105,L2_arctic_WAV/HQTV_arctic_a0271,n aw p l iy z g ih v ah p l ey n s t ey t m ah n t ah v w ah t ah k er d,n aw p l iy z g iy ih ah p l eh n s t ey m ah n w ah t ah k er
106,L2_arctic_WAV/HQTV_arctic_a0364,w iy hh ae v p l eh n t iy ah v k ae p ih t ah l aa r s eh l v z ae n d y eh t w iy w aa n t m ao r,w iy hh ae p l eh n t ih t ah v k ae p iy t ah aa ao w s eh v ih z eh n d y eh t w iy w ah n m ao ah t
107,L2_arctic_WAV/HQTV_arctic_a0375,dh ah b uh ch er z ae n d m iy t k ah t er z r ih f y uw z d t ih hh ae n d ah l m iy t d eh s t ih n d f ao r ah n f eh r r eh s t r aa n t s,d ah b uh ch ah z eh n m iy t* k ah t er r ih f y uw z t ih hh ae n d ah m iy t d eh s t iy n f ao ah n f eh r eh sh r aa ng k s
108,L2_arctic_WAV/HQTV_arctic_a0378,dh ae t s w ay ih t s b aw n d er iy z aa r ao l g aw jh d ah n d jh ae g d,d ae s w ay ih s b aw r iy z aa r ao l g uh d ah n jh aa r k
109,L2_arctic_WAV/HQTV_arctic_a0434,ah hh ae f ah k ey s ah v t ah b ae k ow w ao z w er th th r iy p aw n z,ah hh ae f ah b k ey ah t ah p hh ey k ow w ao s w uh th t w iy p aw z
110,L2_arctic_WAV/HQTV_arctic_a0459,dh eh r z t uw m ah ch ah v dh ah s k uw l b oy ih n m iy,d eh ch uw m ah ch ah v s k uw b oy n m iy
111,L2_arctic_WAV/HQTV_arctic_a0475,hh ih z aw t s t r eh ch t aa r m d r aa p t t uw hh ih z s ay d ae n d hh iy p ao z d,hh ih z aw s t r eh ch aa m b r aa p t uw hh ih s s ay eh n d hh iy p ao s
112,L2_arctic_WAV/HQTV_arctic_a0515,b ah t hh iy r ah m ah ng s t aa r s eh l v z l eh t ah s s p iy k aw t,b ah t hh iy r ah m ah ng s t aa s eh v ih z l eh s ah s s p iy k* aw
113,L2_arctic_WAV/HQTV_arctic_a0519,s ah ch ae n ae k t w ah z ih n d ay r eh k t v ay ah l ey sh ah n ah v dh ah l ao z ah v dh ah l ae n d,s ah ch ae n ae t w ah ih n d ay r eh v ay ah l ey sh ah n ah v d ah l ao r ah d ah l ae* n d
114,L2_arctic_WAV/HQTV_arctic_a0542,w ih th aw t ah d aw t s ah m ah v dh ah m hh ae v d ih n er eh n g ey jh m ah n t s,w ih th aw ah d aw t s ah m ah v dh ah m hh eh v d iy n ah eh n g ey sh m ah n
115,L2_arctic_WAV/HQTV_arctic_b0019,hh ih z s l ih m hh ae n d z g r ih p t dh iy eh jh ah z ah v dh ah t ey b ah l,hh ih z s l ih m hh ae n g r ih p d iy eh d ah d ah t ey b ah
